step time id x y targetId sourceId
1 0.0 1 8.335132494527677 1.5436803957083312 2 -1
1 0.0 2 8.45 2.8603412350126747 2 -1
1 0.0 3 8.25292605307132 2.378752436214809 2 -1
1 0.0 4 8.45 3.32170270115153 2 -1
1 0.0 5 8.252846950671861 1.9857092613563587 2 -1
1 0.0 6 7.717296501412549 1.9030710719269326 2 -1
1 0.0 7 7.6944365968764865 3.4000000000000004 2 -1
1 0.0 8 7.624257182036924 1.3536757392058831 2 -1
1 0.0 9 7.596424961065546 2.2120509302464026 2 -1
1 0.0 10 7.75 2.735731556106876 2 -1
1 0.0 11 8.745076692880854 1.3063921608840081 2 -1
1 0.0 12 8.809342003099566 2.927290887291778 2 -1
1 0.0 13 8.700903652920315 2.131388109395253 2 -1
1 0.0 14 8.76897968478893 2.522372179288921 2 -1
1 0.0 15 8.797862804519475 2.8408205719357777 2 -1
1 0.0 16 9.314494545257668 1.6834644564087209 2 -1
1 0.0 17 9.39920895397467 2.8862556572172453 2 -1
1 0.0 18 9.55 2.668501985429042 2 -1
1 0.0 19 9.55 3.399078523122979 2 -1
1 0.0 20 9.488149826235608 2.4145566086190478 2 -1
1 0.0 21 13.822540046061683 3.0423996771344046 2 -1
1 0.0 22 13.765234494306082 3.4000000000000004 2 -1
1 0.0 23 13.840708881601232 2.050719310690124 2 -1
1 0.0 24 13.95 1.4363931508992576 2 -1
1 0.0 25 13.95 1.7064605244952689 2 -1
1 0.0 26 14.477766257131524 1.749260407202116 2 -1
1 0.0 27 14.65 3.2018798572705203 2 -1
1 0.0 28 14.65 2.435028557100223 2 -1
1 0.0 29 14.414926216919346 3.0953956335780273 2 -1
1 0.0 30 14.54752148267726 2.801827364112185 2 -1
1 0.0 31 15.75 1.895640601358484 2 -1
1 0.0 32 15.575663986235394 1.5872491091951004 2 -1
1 0.0 33 15.75 2.987084039842445 2 -1
1 0.0 34 15.615744032188994 2.544259026117853 2 -1
1 0.0 35 15.75 2.414400601466696 2 -1
1 0.0 36 15.05 1.9794020786532216 2 -1
1 0.0 37 14.817164355166831 2.7675007559085225 2 -1
1 0.0 38 14.833290743977145 1.8032749466682299 2 -1
1 0.0 39 14.832294846847173 2.933419710362342 2 -1
1 0.0 40 15.05 2.2642324662580133 2 -1
